FID,LICENSEE,CALLSIGN,LOCNUM,LAT_DMS,LATDIR,LON_DMS,LONDIR,LOCADD,LOCCITY,LOCCOUNTY,LOCSTATE,NEPA,QZONE,TOWREG,SUPSTRUC,ALLSTRUC,STRUCTYPE,LIC_ID,LONG,LAT
29,Cellco Partnership,KNKN228,13,"37,37,51",N,"119,1,59",W,5920 Minaret Rd.,Mammoth Lakes,MADERA,CA,N, , ,7.600000000000000,13.000000000000000,BANT,11663,-119.033112606000000,37.630805215499997
30,SACRAMENTO VALLEY LIMITED PARTNERSHIP,KNKA636,1,"38,55,2",N,"121,32,42",W,2290 PALM AVENUE,EAST NICOLAUS,SUTTER,CA,N, , ,45.700000000000003,50.899999999999999,NNTANN,11683,-121.545013166000000,38.917205147799997
31,SACRAMENTO VALLEY LIMITED PARTNERSHIP,KNKA636,3,"38,46,17",N,"121,31,29",W,7310 PACIFIC AVENUE,PLEASANT GROVE,SUTTER,CA,N, , ,36.600000000000001,36.600000000000001,POLE,11683,-121.524713145000010,38.771405137499997
32,SACRAMENTO VALLEY LIMITED PARTNERSHIP,KNKA636,5,"38,59,45",N,"121,26,30",W,4491 WHEATLAND ROAD,WHEATLAND,YUBA,CA,N, , ,46.200000000000003,46.399999999999999,TOWER,11683,-121.441713160000010,38.995805162400003
33,SACRAMENTO VALLEY LIMITED PARTNERSHIP,KNKA636,7,"39,9,14",N,"121,48,29",W,10373 SOUTH BUTTE ROAD,SUTTER,SUTTER,CA,N, , ,41.100000000000001,41.799999999999997,NNTANN,11683,-121.808113238000000,39.153905147300001
34,SACRAMENTO VALLEY LIMITED PARTNERSHIP,KNKA636,9,"38,52,29",N,"121,42,28",W,SOUTH OF THE INTERSECTION OF SEYMOUR ROAD AND CA HWY 113,Robbins,SUTTER,CA,N, ,1012084,71.599999999999994,71.599999999999994,TOWER,11683,-121.707813187000000,38.874705131799999
35,SACRAMENTO VALLEY LIMITED PARTNERSHIP,KNKA636,10,"39,23,19",N,"121,10,39",W,15358 Oregon Hill Lookout,DOBBINS,YUBA,CA,N, ,1238537,60.000000000000000,64.900000000000006,TOWER,11683,-121.177513168000000,39.388605216099997
36,SACRAMENTO VALLEY LIMITED PARTNERSHIP,KNKA636,11,"39,18,45",N,"121,39,43",W,550 Chandon Avenue,Gridley,BUTTE,CA,N, , ,46.299999999999997,50.299999999999997,TOWER,11683,-121.661913235000000,39.312505171900000
37,SACRAMENTO VALLEY LIMITED PARTNERSHIP,KNKA636,12,"39,12,16",N,"121,16,57",W,8929 Hwy 20,SMARTVILLE,YUBA,CA,N, , ,45.799999999999997,49.299999999999997,TOWER,11683,-121.282513161000000,39.204405192099998
38,FRESNO MSA LIMITED PARTNERSHIP,KNKN239,1,"35,59,42",N,"119,58,9",W,HWYS 5 & 41 28435 MILHAM AVENUE,Kettleman City,KINGS,CA,N, ,1019408,87.200000000000003,91.700000000000003,TOWER,11701,-119.969212590000000,35.995004991199998
39,FRESNO MSA LIMITED PARTNERSHIP,KNKN239,2,"36,16,0",N,"119,46,22",W,14147 18TH AVE,LEMOORE,KINGS,CA,N, ,1018260,56.000000000000000,60.000000000000000,TOWER,11701,-119.772812585000000,36.266705030600001
40,FRESNO MSA LIMITED PARTNERSHIP,KNKN239,3,"36,9,33",N,"119,36,4",W,Approx. 4.0 Miles NNW of Corcoran,Corcoran,KINGS,CA,N, , ,56.000000000000000,0.000000000000000, ,11701,-119.601112546000000,36.159205030700001
41,FRESNO MSA LIMITED PARTNERSHIP,KNKN239,4,"35,44,17",N,"119,44,43",W,0.5 miles NE of Twissleman and I-5,Lost Hills,KERN,CA,N, , ,56.000000000000000,0.000000000000000, ,11701,-119.745312529000000,35.738104979500001
42,FRESNO MSA LIMITED PARTNERSHIP,KNKN239,5,"35,55,33",N,"120,22,28",W,TABLE MTN. IN LOS PADRES NAT'L FOREST 30 MI EAST OF SAN ARDO,San Ardo,MONTEREY,CA,N, , ,25.000000000000000,0.000000000000000, ,11701,-120.374412649000010,35.925804958199997
43,FRESNO MSA LIMITED PARTNERSHIP,KNKN239,6,"36,24,29",N,"119,38,20",W,HWY 43 .25 MI S OF DOVER AVE,LATON,KINGS,CA,N, ,1017111,46.299999999999997,53.000000000000000,TOWER,11701,-119.638912577000000,36.408105053500002
44,FRESNO MSA LIMITED PARTNERSHIP,KNKN239,7,"35,56,19",N,"120,1,2",W,30776 Utica Avenue,AVENAL,KINGS,CA,N, , ,6.100000000000000,6.700000000000000,POLE,11701,-120.017212592000010,35.938604982299999
45,FRESNO MSA LIMITED PARTNERSHIP,KNKN239,8,"36,19,47",N,"119,39,37",W,450 GREENFIELD AVE,HANFORD,KINGS,CA,N, ,1018753,24.600000000000001,29.199999999999999,TOWER,11701,-119.660312573000000,36.329705044100002
46,FRESNO MSA LIMITED PARTNERSHIP,KNKN239,10,"36,20,21",N,"119,32,49",W,4495 Grangeville Blvd,Hanford,KINGS,CA,N, ,1017120,45.700000000000003,46.299999999999997,TOWER,11701,-119.546912555000010,36.339205052300002
47,Cellco Partnership,KNKN257,2,"39,48,57",N,"123,30,33",W,3450 SPY Rock road,Cummings,MENDOCINO,CA,N, , ,6.100000000000000,10.699999999999999,POLE,11714,-123.509213583000000,39.815805064499997
48,Cellco Partnership,KNKN257,3,"39,27,54",N,"123,45,32",W,22501 Bald Hill Road,Fort Bragg,MENDOCINO,CA,N, , ,16.800000000000001,21.300000000000001,POLE,11714,-123.758913572000000,39.465005017999999
49,Cellco Partnership,KNKN257,4,"39,25,32",N,"123,24,36",W,23841 RIDGE ROAD,WILLITS,MENDOCINO,CA,N, , ,38.000000000000000,43.000000000000000,MAST,11714,-123.410013516000010,39.425605042999997
50,Cellco Partnership,KNKN257,5,"39,7,1",N,"123,14,0",W,HWY 101 @ 1880 OAK KNOLL RD,UKIAH,MENDOCINO,CA,N, ,1017178,16.699999999999999,22.500000000000000,TOWER,11714,-123.233313450000000,39.116905033700000
51,Cellco Partnership,KNKN257,10,"38,39,22",N,"122,36,57",W,"South Mt St. Helena, End of Mt. St. Helena Road     (St. Helena South",Calistoga,NAPA,CA,N, ,1055733,24.399999999999999,27.399999999999999,POLE,11714,-122.615813299000000,38.656105044999997
52,Cellco Partnership,KNKN257,11,"38,58,37",N,"123,21,26",W,16100 HWY 128,BOONVILLE,MENDOCINO,CA,N, ,1016423,17.399999999999999,18.899999999999999,POLE,11714,-123.357213450000000,38.976905013299998
53,Cellco Partnership,KNKN257,12,"38,55,53",N,"123,8,34",W,4617 County Rd. 110,HOPLAND,MENDOCINO,CA,N, , ,17.000000000000000,21.000000000000000,POLE,11714,-123.142813412000000,38.931405026100002
54,Cellco Partnership,KNKN257,13,"38,43,59",N,"123,17,23",W,25555 KELLY ROAD,ANNAPOLIS,SONOMA,CA,N, ,1019377,68.599999999999994,74.900000000000006,TOWER,11714,-123.289713410000000,38.733104999500000
55,Cellco Partnership,KNKN257,15,"39,57,55",N,"123,47,15",W,"80441 County Rd., 442C",Piercy,MENDOCINO,CA,N, , ,21.300000000000001,23.800000000000001,POLE,11714,-123.787513644000000,39.965305052300003
56,SACRAMENTO VALLEY LIMITED PARTNERSHIP,KNKN219,1,"39,8,0",N,"121,5,58",W,17713 WOLF MOUNTAIN RD.,GRASS VALLEY,NEVADA,CA,N, , ,30.500000000000000,35.100000000000001,MAST,11717,-121.099413123000010,39.133305200499997
57,SACRAMENTO VALLEY LIMITED PARTNERSHIP,KNKN219,2,"39,19,16",N,"120,20,10",W,DONNER SKI RANCH,TRUCKEE,NEVADA,CA,N, , ,30.500000000000000,35.600000000000001,TOWER,11717,-120.336113024000000,39.321105275699999
58,SACRAMENTO VALLEY LIMITED PARTNERSHIP,KNKN219,3,"39,14,46",N,"120,58,0",W,11385 Caroline Lane,NEVADA CITY,NEVADA,CA,N, ,1232307,24.300000000000001,30.399999999999999,POLE,11717,-120.966713115999990,39.246105220300002
59,SACRAMENTO VALLEY LIMITED PARTNERSHIP,KNKN219,4,"39,19,44",N,"120,11,45",W,.7 mi W of Truckee Indian Jack Rd.,TRUCKEE,NEVADA,CA,N, ,1014908,24.300000000000001,27.399999999999999,MAST,11717,-120.195813001999990,39.328905287300003
60,SACRAMENTO VALLEY LIMITED PARTNERSHIP,KNKN219,5,"39,14,30",N,"121,6,11",W,Bitney Springs Road,Grass Valley,NEVADA,CA,N, , ,27.699999999999999,27.699999999999999,MAST,11717,-121.103113136999990,39.241705209499997
61,SACRAMENTO VALLEY LIMITED PARTNERSHIP,KNKN219,6,"39,3,3",N,"121,5,19",W,22591 WILD CANARY ROAD,GRASS VALLEY,NEVADA,CA,N, , ,36.000000000000000,36.000000000000000,TOWER,11717,-121.088613111000000,39.050805194200002
62,Cellco Partnership,KNKN205,2,"32,47,45",N,"115,29,56",W,1600 FEET SSE OF INTERSECTION OF HWY 111 & RTE 80 3.8 MILES DUE EAST O,EL CENTRO,IMPERIAL,CA,N, , ,298.000000000000000,0.000000000000000, ,11748,-115.498911553000000,32.795804883700001
63,Cellco Partnership,KNKN205,3,"32,39,54",N,"115,29,38",W,352 FIRST STREET,CALEXICO,IMPERIAL,CA,N, , ,105.000000000000000,0.000000000000000, ,11748,-115.493911543000000,32.665004867199997
64,Cellco Partnership,KNKN205,4,"32,42,35",N,"115,3,50",W,"28 MILES ESE OF HOLTVILLE, N OF I-8",HOLTVILLE,IMPERIAL,CA,N, , ,298.000000000000000,0.000000000000000, ,11748,-115.063911468000000,32.709704894300003
65,Cellco Partnership,KNKN205,5,"32,57,30",N,"115,50,20",W,TOP OF SUPERSTITION MTN. APPROX. 17 MILES W OF,BRAWLEY,IMPERIAL,CA,N, , ,18.000000000000000,0.000000000000000, ,11748,-115.838911626000000,32.958304887499999
66,"NEW CINGULAR WIRELESS PCS, LLC",KNKA270,1,"37,17,18",N,"122,1,58",W,12299 Saratoga-Sunnyvale Road,Saratoga,SANTA CLARA,CA,N, , ,0.000000000000000,0.000000000000000, ,11815,-122.032813050000000,37.288304972500001
67,"NEW CINGULAR WIRELESS PCS, LLC",KNKA270,2,"37,7,8",N,"121,50,1",W,Santa Cruz Mountain Range,Santa Clara,SANTA CLARA,CA,N, , ,0.000000000000000,0.000000000000000, ,11815,-121.833613001000000,37.118904971500001
68,"NEW CINGULAR WIRELESS PCS, LLC",KNKA270,3,"37,7,6",N,"121,40,12",W,EL TORO HILL,MORGAN HILL,SANTA CLARA,CA,N, , ,0.000000000000000,0.000000000000000, ,11815,-121.670012976000000,37.118304983000002
69,"NEW CINGULAR WIRELESS PCS, LLC",KNKA270,4,"37,17,18",N,"121,56,6",W,1999 S. BASCOM #930,CAMPBELL,SANTA CLARA,CA,N, , ,0.000000000000000,0.000000000000000, ,11815,-121.935013036000000,37.288304979700001
70,"NEW CINGULAR WIRELESS PCS, LLC",KNKA270,5,"37,20,46",N,"121,37,49",W,MT HAMILTON,SAN JOSE,SANTA CLARA,CA,N, , ,0.000000000000000,0.000000000000000, ,11815,-121.630312995000000,37.346105005799998
71,"NEW CINGULAR WIRELESS PCS, LLC",KNKA270,6,"37,19,29",N,"122,0,8",W,200 LAWRENCE EXPRESSWAY,SAN JOSE,SANTA CLARA,CA,N, , ,0.000000000000000,0.000000000000000, ,11815,-122.002213049000010,37.324704977800003
72,"NEW CINGULAR WIRELESS PCS, LLC",KNKA270,7,"36,59,8",N,"121,32,52",W,5775 ROSSI LANE,GILROY,SANTA CLARA,CA,N, , ,0.000000000000000,0.000000000000000, ,11815,-121.547812943000000,36.985604979300000
73,"NEW CINGULAR WIRELESS PCS, LLC",KNKA270,8,"37,13,19",N,"121,58,58",W,140 WEST MAIN STREET,LOS GATOS,SANTA CLARA,CA,N, , ,0.000000000000000,0.000000000000000, ,11815,-121.982813035000010,37.221904970099999
74,"NEW CINGULAR WIRELESS PCS, LLC",KNKA270,9,"37,22,34",N,"122,8,9",W,Off Purissima Road,Los Altos Hills,SANTA CLARA,CA,N, , ,0.000000000000000,0.000000000000000, ,11815,-122.135813076000010,37.376104973399997
75,"NEW CINGULAR WIRELESS PCS, LLC",KNKA270,10,"37,9,27",N,"121,59,2",W,21450 MODRONE DRIVE,LOS GATOS,SANTA CLARA,CA,N, , ,0.000000000000000,0.000000000000000, ,11815,-121.983913028000000,37.157504964899999
76,"NEW CINGULAR WIRELESS PCS, LLC",KNKA270,11,"37,0,34",N,"121,17,28",W,1/5 OF A MILE AT 305 DEGREES TRUE NORTH OF PACHECO PEAK AND 2.2 MILES,SANTA CLARA,SANTA CLARA,CA,N, , ,0.000000000000000,0.000000000000000, ,11815,-121.291112905000010,37.009504999299999
77,"NEW CINGULAR WIRELESS PCS, LLC",KNKA692,1,"39,47,1",N,"121,40,43",W,CENTER GAP ROAD & DOE MILL ROAD,CHICO,BUTTE,CA,N, , ,0.000000000000000,0.000000000000000, ,11828,-121.678613299000010,39.783605208799997
78,"NEW CINGULAR WIRELESS PCS, LLC",KNKA692,2,"39,39,3",N,"121,27,46",W,END OF ENCINA GRANDE ROAD,BLOOMER MOUNTAIN,BUTTE,CA,N, , ,0.000000000000000,0.000000000000000, ,11828,-121.462813248000000,39.650805215299997
79,"NEW CINGULAR WIRELESS PCS, LLC",KNKA692,3,"39,48,32",N,"121,34,43",W,1 1/2 MI. N OF MAGALIA CHURCH 13700 OLD SKYWAY,MAGALIA,BUTTE,CA,N, , ,0.000000000000000,0.000000000000000, ,11828,-121.578613287000000,39.808905219400003
80,"NEW CINGULAR WIRELESS PCS, LLC",KNKA692,4,"39,19,19",N,"121,40,11",W,AT THE INTERSECTION OF TURNER AVENUE AND COWEE AVENUE,LIVE OAK,BUTTE,CA, , , ,0.000000000000000,0.000000000000000, ,11828,-121.669713237000000,39.322005172300003
81,"NEW CINGULAR WIRELESS PCS, LLC",KNKA622,1,"38,58,50",N,"121,39,43",W,.9 MILES SOUTHWEST OF,NICOLAUS,SUTTER,CA,N, , ,0.000000000000000,0.000000000000000, ,11832,-121.661913192000000,38.980605144599998
82,"NEW CINGULAR WIRELESS PCS, LLC",KNKA622,2,"38,56,25",N,"121,24,54",W,WHEATLAND,LINCOLN,SUTTER,CA,N, , ,0.000000000000000,0.000000000000000, ,11832,-121.415013149000000,38.940305160100003
83,"NEW CINGULAR WIRELESS PCS, LLC",KNKA622,3,"38,50,11",N,"121,33,46",W,CATTLETT 1485 WEST CATTLETT ROAD,PLEASANT GROVE,SUTTER,CA,N, , ,0.000000000000000,0.000000000000000, ,11832,-121.562813158000000,38.836405139900002
84,"NEW CINGULAR WIRELESS PCS, LLC",KNKA622,4,"39,11,6",N,"121,37,47",W,0.45 mile Southeast of intersection of Route #99 and Eager Road,Yuba City,SUTTER,CA,N, , ,0.000000000000000,0.000000000000000, ,11832,-121.629713214000010,39.185005163900001
85,"NEW CINGULAR WIRELESS PCS, LLC",KNKA622,5,"39,17,15",N,"122,20,4",W,7.8 MILES WEST OF HIGHWAY 5 1.3 MILES SOUTH OF,TEHAMA,COLUSA,CA,N, , ,0.000000000000000,0.000000000000000, ,11832,-122.334413334999990,39.287505117499997
86,"NEW CINGULAR WIRELESS PCS, LLC",KNKA622,6,"39,23,17",N,"121,10,39",W,OREGON PEAK 4.2 MILES WEST OF HWY 49 AND 6.4 MILES SOUTH OF,PIKE CITY PEAK,YUBA,CA,N, , ,58.500000000000000,0.000000000000000, ,11832,-121.177513168000000,39.388105215800003
87,"NEW CINGULAR WIRELESS PCS, LLC",KNKA622,7,"39,5,28",N,"121,32,40",W,OLIVEHURST   AT THE INTERSECTION OF HWY 65 AND HWY 70,OLIVEHURST,YUBA,CA,N, , ,0.000000000000000,0.000000000000000, ,11832,-121.544413187999990,39.091105162500000
88,"NEW CINGULAR WIRELESS PCS, LLC",KNKA622,8,"39,14,42",N,"120,57,58",W,BANNER MOUNTAIN 4.2 MILES NNE OF PEARDALE 2.6 MILES ESE OF,NEVADA,NEVADA,CA,N, , ,0.000000000000000,0.000000000000000, ,11832,-120.966113116000000,39.245005220000003
89,"SANTA BARBARA CELLULAR SYSTEMS, LTD.",KNKA493,1,"34,27,57",N,"119,40,40",W,GIBRALTER,SANTA BARBARA,SANTA BARBARA,CA,N, , ,0.000000000000000,0.000000000000000, ,11835,-119.677812403999990,34.465804852700003
90,"SANTA BARBARA CELLULAR SYSTEMS, LTD.",KNKA493,2,"34,28,8",N,"120,5,2",W,FREEMAN,SANTA BARBARA,SANTA BARBARA,CA,N, , ,0.000000000000000,0.000000000000000, ,11835,-120.083912470000000,34.468904829099998
91,"SANTA BARBARA CELLULAR SYSTEMS, LTD.",KNKA493,3,"34,44,18",N,"120,26,43",W,"ON HIGHWAY NO. 1, 7.6 MILES NORTH OF LOMPOC",LOMPOC,SANTA BARBARA,CA,N, , ,0.000000000000000,0.000000000000000, ,11835,-120.445312551000000,34.738304835699999
92,"SANTA BARBARA CELLULAR SYSTEMS, LTD.",KNKA493,4,"34,50,3",N,"120,22,59",W,Mt. Solomon,SANTA BARBARA, ,CA,N, , ,21.300000000000001,0.000000000000000, ,11835,-120.383112549000000,34.834204849199999
93,"SANTA BARBARA CELLULAR SYSTEMS, LTD.",KNKA493,5,"34,31,37",N,"119,58,44",W,SANTA YNEZ,SANTA YNEZ,SANTA BARBARA,CA,N, , ,0.000000000000000,0.000000000000000, ,11835,-119.978912458000000,34.526904841600000
94,"SANTA BARBARA CELLULAR SYSTEMS, LTD.",KNKA493,6,"34,34,49",N,"119,49,53",W,LOMA ALTA OFF OF PARADISE ROAD,SANTA BARBARA,SANTA BARBARA,CA,N, , ,0.000000000000000,0.000000000000000, ,11835,-119.831412439000000,34.580304855300000
95,"SANTA BARBARA CELLULAR SYSTEMS, LTD.",KNKA493,7,"34,34,10",N,"120,21,16",W,3800 SAN JULIAN ROAD,LOMPOC,SANTA BARBARA,CA,N, , ,0.000000000000000,0.000000000000000, ,11835,-120.354412522000000,34.569404823500001
96,"SANTA BARBARA CELLULAR SYSTEMS, LTD.",KNKA493,8,"34,30,51",N,"120,13,51",W,9402 HWY 1,LOMPOC,SANTA BARBARA,CA,N, , ,0.000000000000000,0.000000000000000, ,11835,-120.230812498000010,34.514204825599997
97,"SANTA BARBARA CELLULAR SYSTEMS, LTD.",KNKA493,9,"34,25,19",N,"119,36,30",W,ORTEGA HILL 2111 Ortega Hill Road,Summerland, ,CA,N, , ,0.000000000000000,0.000000000000000, ,11835,-119.608312389000010,34.421904851999997
98,"SANTA BARBARA CELLULAR SYSTEMS, LTD.",KNKA493,10,"34,27,3",N,"119,34,48",W,Toro Canyon 2750 1/2 Bella Vista Drive,Santa Barbara,SANTA BARBARA,CA,N, , ,12.000000000000000,0.000000000000000, ,11835,-119.580012386000010,34.450804856799998
99,"SANTA BARBARA CELLULAR SYSTEMS, LTD.",KNKA493,11,"34,56,35",N,"120,26,40",W,SANTA MARIA 801 SOUTH BROADWAY,SANTA MARIA,SANTA BARBARA,CA,N, , ,23.199999999999999,0.000000000000000, ,11835,-120.444412568999990,34.943104856300003
100,"SANTA BARBARA CELLULAR SYSTEMS, LTD.",KNKA493,12,"34,53,17",N,"119,48,47",W,"MCPHERSON PEAK - MCPHERSON COMMUNICATIONS PEAK, SIERRA MADRE MOUNTAINS",NEW CUYAMA,SANTA BARBARA,CA,N, , ,22.600000000000001,0.000000000000000, ,11835,-119.813112463000000,34.888104888299999
101,"NEW CINGULAR WIRELESS PCS, LLC",KNKA540,1,"40,44,47",N,"122,18,0",W,GREY ROCKS,REDDING,SHASTA,CA,N, , ,0.000000000000000,0.000000000000000, ,11838,-122.300013531000000,40.746405233300003
102,"NEW CINGULAR WIRELESS PCS, LLC",KNKA540,2,"40,8,11",N,"122,49,1",W,Tomhead Mountain 31 miles West of Red Bluff,Tomhead,TEHAMA,CA,N, , ,0.000000000000000,0.000000000000000, ,11838,-122.816913523000000,40.136405144699999
103,"NEW CINGULAR WIRELESS PCS, LLC",KNKA540,3,"41,5,18",N,"122,20,32",W,"ON SWEETBRIAR RIDGE, 1.5 MILES WEST OF HWY 5, APPR 5 MILES SOUTH OF",SWEETBRIAR,SHASTA,CA,N, , ,793.000000000000000,0.000000000000000, ,11838,-122.342213588000010,41.088305255300000
